exam,branch_raw,branch_clean,n_rows,n_colleges,status,existing_branch_id,suggested_primary_branch,note
CollegeFees,POLYMER SCIENCE & TECHNOLOGY,POLYMER SCIENCE & TECHNOLOGY,1,1,NEW,,Chemical Engineering,
CollegeFees,SILK TECHNOLOGY,SILK TECHNOLOGY,1,1,NEW,,Textile / Fashion Technology,
CollegeFees,TEXTILES TECHNOLOGY,TEXTILES TECHNOLOGY,1,1,NEW,,Textile / Fashion Technology,
GUJCET,AERO SPACE ENGINEERING,AERO SPACE ENGINEERING,8,3,NEW,,Aerospace Engineering,
GUJCET,AGRICULTURAL TECHNOLOGY,AGRICULTURAL TECHNOLOGY,1,1,NEW,,Agricultural Engineering,
GUJCET,ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,33,7,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,Bachelor of Technology (Hons) in Civil Engineering (BCE),Bachelor of Technology (Hons) in Civil Engineering (BCE),5,1,NEW,,Civil Engineering,
GUJCET,Bpharm,Bpharm,480,104,NEW,,Pharmacy,
GUJCET,CHEMICAL & ENVIRONMENTAL ENGINEERING,CHEMICAL & ENVIRONMENTAL ENGINEERING,3,1,NEW,,Chemical Engineering,
GUJCET,CIVIL ENGINEERING (CONSTRUCTION TECHNOLOGY),CIVIL ENGINEERING (CONSTRUCTION TECHNOLOGY),1,1,NEW,,Civil Engineering,
GUJCET,CIVIL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),CIVIL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),1,1,NEW,,Civil Engineering,
GUJCET,CIVIL IRRIGATION WATER MANAGEMENT,CIVIL IRRIGATION WATER MANAGEMENT,1,1,NEW,,Civil Engineering,
GUJCET,COMPUTER ENGINEERING & APPLICATION,COMPUTER ENGINEERING & APPLICATION,4,1,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),4,3,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE),COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE),2,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER ENGINEERING (Data Science),COMPUTER ENGINEERING (Data Science),1,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & BIOSCIENCES,COMPUTER SCIENCE & BIOSCIENCES,8,4,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & BUSINESS SYSTEMS,COMPUTER SCIENCE & BUSINESS SYSTEMS,7,2,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & DESIGN,COMPUTER SCIENCE & DESIGN,18,4,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & ENGINEERING,COMPUTER SCIENCE & ENGINEERING,166,53,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),51,20,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE),COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE),17,7,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & ENGINEERING (BIG DATA ANALYTICS),COMPUTER SCIENCE & ENGINEERING (BIG DATA ANALYTICS),4,2,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & ENGINEERING (Big Data Analytics),COMPUTER SCIENCE & ENGINEERING (Big Data Analytics),2,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & ENGINEERING (CLOUD COMPUTING),COMPUTER SCIENCE & ENGINEERING (CLOUD COMPUTING),2,1,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),27,14,NEW,,Cyber Security,
GUJCET,COMPUTER SCIENCE & ENGINEERING (Cloud Computing),COMPUTER SCIENCE & ENGINEERING (Cloud Computing),1,1,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & ENGINEERING (Cyber Security),COMPUTER SCIENCE & ENGINEERING (Cyber Security),2,1,NEW,,Cyber Security,
GUJCET,COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),28,9,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY),COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY),2,2,NEW,,Cyber Security,
GUJCET,COMPUTER SCIENCE & ENGINEERING (IOT),COMPUTER SCIENCE & ENGINEERING (IOT),5,1,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & ENGINEERING - M.TECH INTEGRATED,COMPUTER SCIENCE & ENGINEERING - M.TECH INTEGRATED,2,1,NEW,,Computer Science and Engineering,
GUJCET,COMPUTER SCIENCE & TECHNOLOGY,COMPUTER SCIENCE & TECHNOLOGY,7,2,NEW,,Computer Science and Engineering,
GUJCET,Climate Change,Climate Change,1,1,NEW,,Environmental Engineering,
GUJCET,DAIRY TECHNOLOGY,DAIRY TECHNOLOGY,2,1,NEW,,Dairy Technology,
GUJCET,Dpharm,Dpharm,53,30,NEW,,Pharmacy,
GUJCET,ELECTRICAL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),ELECTRICAL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),1,1,NEW,,Electrical Engineering,
GUJCET,ELECTRONICS & COMMUNICATION ENGINEERING,ELECTRONICS & COMMUNICATION ENGINEERING,171,45,NEW,,Electronics and Communication Engineering,
GUJCET,ELECTRONICS & COMMUNICATION ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ELECTRONICS & COMMUNICATION ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3,2,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,ELECTRONICS & COMMUNICATION ENGINEERING (VLSI DESIGN AND TECHNOLOGY),ELECTRONICS & COMMUNICATION ENGINEERING (VLSI DESIGN AND TECHNOLOGY),5,3,NEW,,Electronics and Communication Engineering,
GUJCET,ELECTRONICS & INSTRUMENTATION ENGINEERING,ELECTRONICS & INSTRUMENTATION ENGINEERING,11,2,NEW,,Electronics Engineering,
GUJCET,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),10,3,NEW,,Electronics and Communication Engineering,
GUJCET,ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRONMENTAL SCIENCE & TECHNOLOGY,1,1,NEW,,Environmental Engineering,
GUJCET,"FIRE AND ENVIRONMENT, HEALTH, SAFETY ENGINEERING","FIRE AND ENVIRONMENT, HEALTH, SAFETY ENGINEERING",2,1,NEW,,Environmental Engineering,
GUJCET,FOOD ENGINEERING & TECHNOLOGY,FOOD ENGINEERING & TECHNOLOGY,1,1,NEW,,Food Technology,
GUJCET,FOOD PROCESSING TECHNOLOGY,FOOD PROCESSING TECHNOLOGY,2,1,NEW,,Food Technology,
GUJCET,HONS. IN ICT WITH MINOR IN COMPUTATIONAL SCIENCE (CS),HONS. IN ICT WITH MINOR IN COMPUTATIONAL SCIENCE (CS),7,1,NEW,,Computer Science and Engineering,
GUJCET,INFORMATION & COMMUNICATION TECHNOLOGY,INFORMATION & COMMUNICATION TECHNOLOGY,41,9,NEW,,Computer Science and Engineering,
GUJCET,INFORMATION TECHNOLOGY & ENGINEERING,INFORMATION TECHNOLOGY & ENGINEERING,1,1,NEW,,Computer Science and Engineering,
GUJCET,INSTRUMENTATION & CONTROL ENGINEERING,INSTRUMENTATION & CONTROL ENGINEERING,36,7,NEW,,Instrumentation Engineering,
GUJCET,MECHANICAL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),MECHANICAL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),1,1,NEW,,Mechanical Engineering,
GUJCET,MECHATRONICS,MECHATRONICS,3,3,NEW,,Mechatronics,
GUJCET,METALLURGICAL AND MATERIALS ENGINEERING,METALLURGICAL AND MATERIALS ENGINEERING,5,1,NEW,,Metallurgical and Materials Engineering,
GUJCET,PLASTIC & POLYMER ENGINEERING,PLASTIC & POLYMER ENGINEERING,1,1,NEW,,Chemical Engineering,
GUJCET,PLASTIC ENGINEERING,PLASTIC ENGINEERING,1,1,NEW,,Chemical Engineering,
GUJCET,POWER ELECTRONICS,POWER ELECTRONICS,5,1,NEW,,Electronics Engineering,
GUJCET,ROBOTICS & ARTIFICIAL INTELLIGENCE,ROBOTICS & ARTIFICIAL INTELLIGENCE,5,3,NEW,,Artificial Intelligence / Machine Learning / Data Science,
GUJCET,RUBBER TECHNOLOGY,RUBBER TECHNOLOGY,4,1,NEW,,,
JoSAA,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)","Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",48,1,NEW,,Chemical Engineering,
JoSAA,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)","Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",42,1,NEW,,Computer Science and Engineering,
JoSAA,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)","Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",42,1,NEW,,Energy Engineering,
JoSAA,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))","Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",410,1,NEW,,Food Technology,
JoSAA,"Animation and VFX (4 Years, Bachelor of Technology)","Animation and VFX (4 Years, Bachelor of Technology)",33,1,NEW,,Animation / Media Technology,
JoSAA,"Applied Geology (5 Years, Integrated Master of Science)","Applied Geology (5 Years, Integrated Master of Science)",217,1,NEW,,Geology / Earth Sciences,
JoSAA,"Applied Geophysics (4 Years, Bachelor of Science)","Applied Geophysics (4 Years, Bachelor of Science)",60,1,NEW,,Physics,
JoSAA,"Applied Mathematics (5 Years, Integrated Master of Science)","Applied Mathematics (5 Years, Integrated Master of Science)",226,1,NEW,,Mathematics and Computing,
JoSAA,"Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",363,1,NEW,,Architecture,
JoSAA,"B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics (4 Years, Bachelor of Technology)","B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics (4 Years, Bachelor of Technology)",37,1,NEW,,Electronics and Communication Engineering,
JoSAA,"B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))","B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))",42,1,NEW,,,
JoSAA,"B. Tech. Computer Science and Engineering and M. Tech. Computer Science and Engineering with specialization in Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. Computer Science and Engineering and M. Tech. Computer Science and Engineering with specialization in Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",36,1,NEW,,Computer Science and Engineering,
JoSAA,"B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in Communication Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in Communication Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",79,1,NEW,,Electronics and Communication Engineering,
JoSAA,"B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in VLSI Design (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in VLSI Design (5 Years, Bachelor and Master of Technology (Dual Degree))",70,1,NEW,,Electronics and Communication Engineering,
JoSAA,"B. Tech. Mechanical Engineering and M. Tech. Mechanical Engineering with specialization in Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. Mechanical Engineering and M. Tech. Mechanical Engineering with specialization in Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",65,1,NEW,,Mechanical Engineering,
JoSAA,"B. Tech. Mechanical Engineering and M. Tech. in Mechanical Engineering with specialization in Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. Mechanical Engineering and M. Tech. in Mechanical Engineering with specialization in Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))",78,1,NEW,,Mechanical Engineering,
JoSAA,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))","B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",96,1,NEW,,,
JoSAA,"B.Tech (Information Technology) and MBA /M.Tech (Information Technology) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","B.Tech (Information Technology) and MBA /M.Tech (Information Technology) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",37,1,NEW,,Computer Science and Engineering,
JoSAA,"B.Tech Mining Engineering and MBA in Logistic and Supply Chain Management (IIM Mumbai) (5 Years, Integrated B. Tech. and MBA)","B.Tech Mining Engineering and MBA in Logistic and Supply Chain Management (IIM Mumbai) (5 Years, Integrated B. Tech. and MBA)",60,1,NEW,,Mining Engineering,
JoSAA,"B.Tech in CSE (AI and ML) (4 Years, Bachelor of Technology)","B.Tech in CSE (AI and ML) (4 Years, Bachelor of Technology)",42,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
JoSAA,"B.Tech. (Civil Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Civil Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",24,1,NEW,,Civil Engineering,
JoSAA,"B.Tech. (Computer Science and Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Computer Science and Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",24,1,NEW,,Computer Science and Engineering,
JoSAA,"B.Tech. (Elctrical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Elctrical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",24,1,NEW,,,
JoSAA,"B.Tech. (Electronics and Communication Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Electronics and Communication Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",25,1,NEW,,Electronics and Communication Engineering,
JoSAA,"B.Tech. (Food Engineering and Technology) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Food Engineering and Technology) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",18,1,NEW,,Food Technology,
JoSAA,"B.Tech. (Mechanical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))","B.Tech. (Mechanical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",19,1,NEW,,Mechanical Engineering,
JoSAA,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems (5 Years, Bachelor and Master of Technology (Dual Degree))","B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",54,1,NEW,,Electronics and Communication Engineering,
JoSAA,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",212,1,NEW,,Biomedical Engineering,
JoSAA,"Biochemical Engineering (4 Years, Bachelor of Technology)","Biochemical Engineering (4 Years, Bachelor of Technology)",48,1,NEW,,Chemical Engineering,
JoSAA,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",105,1,NEW,,Chemical Engineering,
JoSAA,"Bioengineering (4 Years, Bachelor of Technology)","Bioengineering (4 Years, Bachelor of Technology)",48,1,NEW,,Biomedical Engineering,
